listing_id,fit_init,variability_init,activity_init,reviews_pq,price_log,superhost,amenity_count,sentiment,entry_qtr,lifetime,censored,district,is_tourist,entry_q
25396136,0.881680625,0.1801357896870397,4.856962239908807,4.333333333333333,5.69035945432406,0,18.0,0.047274468826192934,2021Q1,3,0,Yau Tsim Mong,1,2021Q1
25396371,1.10369075,0.2322459957888358,5.498292330258064,6.5,5.736572297479192,0,14.0,0.00822394132427025,2022Q3,2,0,Yau Tsim Mong,1,2022Q3
25537691,1.0425414,0.1399062051843295,6.299403014764433,7.0,5.579729825986222,0,18.0,0.02787138919700763,2022Q3,7,0,Yau Tsim Mong,1,2022Q3
25537980,1.0736077,0.1848343066256391,5.60947179518496,5.0,,0,15.0,0.0408692185007974,2022Q3,1,0,Yau Tsim Mong,1,2022Q3
25801855,0.8885960633333333,0.1531990567979773,7.416407216667336,7.75,5.71042701737487,0,15.0,0.031653215759601,2023Q1,10,1,Yau Tsim Mong,1,2023Q1
26670638,1.27219075,0.1237653502483036,7.716966762339792,4.25,5.3612921657094255,0,11.0,0.023218103637306274,2023Q4,7,1,Yau Tsim Mong,1,2023Q4
26752777,1.2225787499999998,0.2923352449363494,7.710058988828139,10.25,5.993961427306569,1,26.0,0.03474458386630205,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
27385715,0.8810329925,0.2419869915740763,4.663504449137855,19.0,7.129297548929373,0,40.0,0.04980391559271013,2021Q1,18,1,Yau Tsim Mong,1,2021Q1
27497082,1.3267221999999999,0.1322858198693601,7.711289827390331,7.25,5.968707559985366,1,26.0,0.05818371226109657,2023Q2,8,0,Yau Tsim Mong,1,2023Q2
28290071,1.034520675,0.2220000837896163,7.7062999134824945,12.0,5.831882477283517,0,19.0,0.04130088724024965,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
29782509,1.1449109666666668,0.0834842277483076,5.380403629130427,5.0,7.496097345175956,1,44.0,0.050293007914797676,2021Q3,4,0,Islands,0,2021Q3
29822215,1.0921506025,0.2880101896369254,7.707226844845486,10.0,6.466144724237619,0,28.0,0.036674570446388076,2023Q3,4,0,Yau Tsim Mong,1,2023Q3
29935320,0.82441254,0.365129384336754,7.710793165219492,8.5,6.054439346269371,1,27.0,0.0386400379826534,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
30294282,1.0905855500000001,0.2629901975157482,1.5890269151739729,7.75,7.935229539816907,1,53.0,0.06217226401049927,2022Q2,4,0,Eastern,0,2022Q2
30923147,0.7555443749999999,0.1259488141749311,3.132473441149457,23.25,6.824373670043086,0,51.0,0.06460905300150024,2021Q1,12,0,Sai Kung,0,2021Q1
30941011,1.026873535,0.3274717071738959,7.708182343486219,7.75,6.803505257608338,0,21.0,0.03297258636369258,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
31065907,1.1127197,0.0849577064557487,7.708290505290105,8.0,5.7745515455444085,0,17.0,0.019997834650814277,2023Q3,7,0,Yau Tsim Mong,1,2023Q3
31066268,1.0335963333333333,0.1565897704452178,7.417567620110175,5.75,5.777652323222656,0,23.0,0.006906047747631875,2023Q1,10,1,Yau Tsim Mong,1,2023Q1
31363590,1.0342528,0.0372747575817565,4.7535901911063645,11.0,6.565264970035361,0,37.0,0.0326839826839826,2021Q1,1,0,Yau Tsim Mong,1,2021Q1
31427826,1.11372385,0.1042738710530045,5.206514588529201,23.5,6.152732694704104,0,17.0,0.019992208866058476,2021Q1,18,1,Islands,0,2021Q1
32537617,0.9382701925,0.276502946594776,7.710176074255054,9.75,6.124683390894205,0,19.0,0.02729379914721455,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
32537955,1.305715025,0.1063619733618846,7.713684621480708,11.5,5.823045895483019,0,19.0,0.034527138907554544,2023Q4,7,1,Yau Tsim Mong,1,2023Q4
32701409,0.8099379666666667,0.2124986364517221,7.4136897013074385,13.75,5.683579767338681,1,16.0,0.023613895784457148,2023Q1,5,0,Yau Tsim Mong,1,2023Q1
32792199,1.0355139375,0.134030958757909,7.411923979014489,15.0,5.472270673671475,1,16.0,0.028525812837695,2023Q1,7,0,Yau Tsim Mong,1,2023Q1
32969376,1.04549186,0.2287810976225678,7.707620056326677,9.0,5.5909869805108565,1,11.0,0.026191304440517926,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
33321652,0.9236837800000001,0.1829554235490074,7.414388517048229,12.0,5.823045895483019,1,18.0,0.030528164531798498,2023Q1,7,0,Yau Tsim Mong,1,2023Q1
33390164,0.6367509800000001,0.1440135602510221,6.032536193987828,8.5,7.136483208590247,0,27.0,0.0377966410215789,2023Q3,8,1,Wan Chai,1,2023Q3
33603606,1.2216137,0.3787228445194848,7.41645813054441,8.25,5.929589143389895,1,31.0,0.04302268779096592,2023Q1,5,0,Yau Tsim Mong,1,2023Q1
